Backup database server utama | Backup dan Pemulihan Data
Restore data dari backup mingguan | Backup dan Pemulihan Data
Membuat prosedur konfigurasi router | Prosedur Sistem Jaringan
Dokumentasi topologi jaringan | Prosedur Sistem Jaringan
Troubleshooting koneksi internet | Deteksi dan Perbaikan Jaringan
Perbaikan switch yang rusak | Deteksi dan Perbaikan Jaringan
Maintenance server aplikasi | Pemeliharaan Infrastruktur TI
Update firmware router | Pemeliharaan Infrastruktur TI
Instalasi server baru | Pemasangan Infrastruktur TI
Setup workstation karyawan baru | Pemasangan Infrastruktur TI
Develop modul login sistem | Pengembangan Aplikasi
Testing aplikasi web | Pengembangan Aplikasi
Install Windows 11 di laptop | Instalasi dan Konfigurasi
Konfigurasi email server | Instalasi dan Konfigurasi
Edit video tutorial sistem | Editing Multimedia
Design banner untuk website | Editing Multimedia
Koordinasi dengan vendor | Tugas Lainnya
Meeting dengan tim IT | Tugas Lainnya
Laporan bulanan aktivitas IT | Laporan Pelaksanaan
Dokumentasi SOP baru | Laporan Pelaksanaan
